actorName,actorLink,id
B.J. Hogg,nm0389698,1
Michael Feast,nm0269923,2
David Rintoul,nm0727778,3
Chuku Modu,nm6729880,4
Owen Teale,nm0853583,5
Karl Davies,nm0203801,6
Megan Parkinson,nm8257864,7
Fintan McKeown,nm0571654,8
Philip McGinley,nm1528121,9
Jim Broadbent,nm0000980,10
Deobia Oparei,nm0649046,11
Sahara Knite,nm1783582,12
Nathanael Saleh,nm8127149,13
Luke Roberts,nm1074361,14
Maisie Williams,nm3586035,15
Patrick Malahide,nm0538869,16
Phil Barnhill,nm4207240,17
Ian McElhinney,nm0568400,18
Joseph Mawle,nm1152798,19
Eline Powell,nm4730958,20
Gerard Jordan,nm0429956,21
Forbes KB,nm1978998,22
Tim Plester,nm1043031,23
Leigh Gill,nm5279916,24
Michael Condron,nm1638006,25
Isaac Hempstead Wright,nm3652842,26
Gemita Samarra,nm5106314,27
Gwendoline Christie,nm3729225,28
Jerome Flynn,nm0283492,29
Ian McShane,nm0574534,30
Clive Russell,nm0751085,31
Michael Grennell,nm1214477,32
Michelle Fairley,nm0265610,33
Lalor Roddy,nm0734498,34
Lena Headey,nm0372176,35
Alice Hewkin,nm2456829,36
Frank Hvam,nm0404809,37
Darren Killeen,nm4007028,38
Robert Pugh,nm0700059,39
Emilia Clarke,nm3592338,40
Ralph Ineson,nm0408591,41
Maisie Dee,nm3996678,42
Liam Cunningham,nm0192377,43
Ian Whyte,nm1613839,44
Alisdair Simpson,nm1368037,45
Tony Way,nm0915453,46
Alexander Siddig,nm0796502,47
Roxanne McKee,nm1861467,48
Diogo Sales,nm6088160,49
Junade Khan,nm2999602,50
David Coakley,nm2231505,51
Jonathan Ryan,nm0752638,52
Sean Bean,nm0000293,53
Ben Crompton,nm0174005,54
Tobias Menzies,nm0580014,55
Indira Varma,nm0890055,56
Barrington Cullen,nm4473207,57
Pilou Asbæk,nm1561982,58
Cedric Henderson,nm2406775,59
Peter Ballance,nm0050520,60
Dermot Keaney,nm0443825,61
Ricky Champ,nm2307468,62
Joe Dempsie,nm1478079,63
Eddie Eyre,nm6793798,64
Hannah Murray,nm2356940,65
Alan Paris,nm3354768,66
Sam Callis,nm0130538,67
Nikovich Sammut,nm2089809,68
Seamus Kelly,nm4440118,69
Julian Glover,nm0002103,70
Peter Silverleaf,nm0798872,71
Davor Jozinovic,nm7318132,72
Ivan Peric,nm3005802,73
Hadi Kermani,nm7318134,74
Tonci Banov,nm7318135,75
Clive Mantle,nm0544139,76
Cliff Barry,nm0057965,77
Mark Stanley,nm4440305,78
Jacob Anderson,nm2760664,79
Roy Dotrice,nm0234541,80
Sabrina Bartlett,nm6301068,81
Sara Dylan,nm2407387,82
Paul Rattray,nm1051151,83
Marc Rissmann,nm4704928,84
Souad Faress,nm0267256,85
David Verrey,nm0894857,86
Paul Bentley,nm0072855,87
Jonathan Pryce,nm0000596,88
Joel Fry,nm2181128,89
Kristian Nairn,nm3964231,90
Christopher Newman,nm0628040,91
Ben Hawkey,nm3444954,92
Leo Woodruff,nm4547262,93
Jefferson Hall,nm2131630,94
Roger Allam,nm0019885,95
Wilko Johnson,nm3330122,96
Amrita Acharia,nm3822505,97
Richard E. Grant,nm0001290,98
Paul Caddell,nm4781280,99
Nikolaj Coster-Waldau,nm0182666,100
Dominic Carter,nm0141582,101
Tom Wlaschiha,nm0937239,102
Patrick O'Kane,nm0641433,103
Jeffrey O'Brien,nm4475335,104
James Cosmo,nm0181920,105
Sarita Piotrowski,nm4424689,106
Jack Gleeson,nm0322416,107
Thomas Brodie-Sangster,nm1032473,108
John Standing,nm0822062,109
Kit Harington,nm3229685,110
Gerry O'Brien,nm0639569,111
Iain Glen,nm0322513,112
Jamie Sives,nm0803397,113
Kelly Long,nm4958677,114
Burn Gorman,nm1218607,115
Birgitte Hjort Sørensen,nm2171898,116
Pixie Le Knot,nm4768858,117
Tim Landers,nm2461009,118
Ian Gelder,nm0312245,119
Jason Momoa,nm0597388,120
Joseph Naufahu,nm0622533,121
Andrei Claude,nm3040811,122
Raymond Griffiths,nm0341739,123
Dean Whatton,nm2482781,124
George Appleby,nm3338062,125
Maxwell Laird,nm3453345,126
Reg Wayment,nm1168404,127
Marko Juraga,nm0432837,128
Rea Separovic,nm5037688,129
Ania Bukstein,nm0119804,130
Lucy Hayes,nm8314450,131
Patrick Ryan,nm3122423,132
Paddy Rocks,nm0734304,133
